Idx,color,root,knocks,texture,navel,touch,label
1,dark_green,curl_up,little_heavily,distinct,sinking,hard_smooth,1
2,black,curl_up,heavily,distinct,sinking,hard_smooth,1
3,black,curl_up,little_heavily,distinct,sinking,hard_smooth,1
4,dark_green,curl_up,heavily,distinct,sinking,hard_smooth,1
5,light_white,curl_up,little_heavily,distinct,sinking,hard_smooth,1
6,dark_green,little_curl_up,little_heavily,distinct,little_sinking,soft_stick,1
7,black,little_curl_up,little_heavily,little_blur,little_sinking,soft_stick,1
8,black,little_curl_up,little_heavily,distinct,little_sinking,hard_smooth,1
9,black,little_curl_up,heavily,little_blur,little_sinking,hard_smooth,0
10,dark_green,stiff,clear,distinct,even,soft_stick,0
11,light_white,stiff,clear,blur,even,hard_smooth,0
12,light_white,curl_up,little_heavily,blur,even,soft_stick,0
13,dark_green,little_curl_up,little_heavily,little_blur,sinking,hard_smooth,0
14,light_white,little_curl_up,heavily,little_blur,sinking,hard_smooth,0
15,black,little_curl_up,little_heavily,distinct,little_sinking,soft_stick,0
16,light_white,curl_up,little_heavily,blur,even,hard_smooth,0
17,dark_green,curl_up,heavily,little_blur,little_sinking,hard_smooth,0
